,Unnamed: 0,Unnamed: 0.1,careerLevel,careerLevel_other,centerAffiliation,centerAffiliation_other,dataAmount_lsf,dataAnalDuration_sub,dataFormats_1,dataFormats_10,dataFormats_11,dataFormats_12,dataFormats_13,dataFormats_14,dataFormats_15,dataFormats_2,dataFormats_3,dataFormats_4,dataFormats_5,dataFormats_6,dataFormats_7,dataFormats_8,dataFormats_9,dataFormats_other,dataGenMethodSpec_1_1,dataGenMethodSpec_1_2,dataGenMethodSpec_1_3,dataGenMethodSpec_2_1,dataGenMethodSpec_2_2,dataGenMethodSpec_2_3,dataGenMethodSpec_3_1,dataGenMethodSpec_3_2,dataGenMethodSpec_3_3,dataGenMethodSpec_4_1,dataGenMethodSpec_4_2,dataGenMethodSpec_4_3,dataGenMethodSpec_5_1,dataGenMethodSpec_5_2,dataGenMethodSpec_5_3,dataGenMethodSpec_6_1,dataGenMethodSpec_6_2,dataGenMethodSpec_6_3,dataGenMethodSpec_7_1,dataGenMethodSpec_7_2,dataGenMethodSpec_7_3,dataGenMethod_1,dataGenMethod_2,dataGenMethod_3,dataGenMethod_4,dataGenMethod_5,dataGenMethod_6,dataGenMethod_o,dataGenMethod_other,dataInPublication,dataOrigin_MeasVsSim,dataOrigin_SelvVsReuse,dataStorage_0,dataStorage_1,dataStorage_2,dataStorage_3,dataStorage_other,docAuto_2,docAuto_3,docAuto_4,docAuto_5,docAuto_6,docAuto_7,docAuto_8,docAuto_9,docAuto_other,docDefSchema,docDigital_2,docDigital_3,docDigital_4,docDigital_5,docDigital_6,docDigital_7,docDigital_8,docDigital_9,docDigital_other,docMetadata_2,docMetadata_3,docMetadata_4,docMetadata_5,docMetadata_6,docMetadata_7,docMetadata_8,docMetadata_9,docMetadata_other,docMethod_0,docMethod_1,docMethod_2,docMethod_3,docMethod_other,docMotivation_0,docMotivation_1,docMotivation_2,docMotivation_3,docMotivation_4,docMotivation_5,docMotivation_6,docMotivation_other,docObstacles_0,docObstacles_1,docObstacles_4,docObstacles_5,docObstacles_6,docObstacles_7,docObstacles_8,docObstacles_9,docObstacles_other,docStandards_1,docStandards_10,docStandards_11,docStandards_12,docStandards_13,docStandards_14,docStandards_15,docStandards_16,docStandards_17,docStandards_18,docStandards_19,docStandards_2,docStandards_20,docStandards_21,docStandards_22,docStandards_23,docStandards_24,docStandards_25,docStandards_26,docStandards_3,docStandards_4,docStandards_5,docStandards_6,docStandards_7,docStandards_8,docStandards_9,docStandards_other,docStructured,experimentDuration_sub,fairFamiliarity,feedback,id,interviewtime,lastpage,longtermStorage,lsfIdent_1,lsfIdent_10,lsfIdent_11,lsfIdent_2,lsfIdent_3,lsfIdent_4,lsfIdent_5,lsfIdent_6,lsfIdent_7,lsfIdent_8,lsfIdent_9,lsfIdent_other,orcid,pubAmount,pubMetadata_0,pubMetadata_1,pubMetadata_21,pubMetadata_22,pubMetadata_23,pubMetadata_24,pubMetadata_31,pubMetadata_32,pubMetadata_33,pubMetadata_41,pubMetadata_42,pubMetadata_43,pubMetadata_44,pubMetadata_51,pubMetadata_52,pubMetadata_61,pubMetadata_62,pubMetadata_71,pubMetadata_72,pubMetadata_81,pubMetadata_82,pubMetadata_83,pubMetadata_91,pubMetadata_92,pubMetadata_93,pubMetadata_other,pubMethod_1,pubMethod_2,pubMethod_3,pubMethod_other,pubMotivation_1,pubMotivation_2,pubMotivation_3,pubMotivation_4,pubMotivation_5,pubMotivation_6,pubMotivation_7,pubMotivation_other,pubObstaclesA_0,pubObstaclesA_1,pubObstaclesA_2,pubObstaclesA_3,pubObstaclesA_4,pubObstaclesA_5,pubObstaclesA_6,pubObstaclesA_7,pubObstaclesA_other,pubObstaclesB_0,pubObstaclesB_1,pubObstaclesB_2,pubObstaclesB_3,pubObstaclesB_4,pubObstaclesB_5,pubObstaclesB_6,pubObstaclesB_7,pubObstaclesB_other,pubRepo_1,pubRepo_2,pubRepo_3,pubRepo_4,pubRepo_5,researchArea,researchAreaAGRI,researchAreaAGRI_other,researchAreaBIO,researchAreaBIO_other,researchAreaCHEM,researchAreaCHEM_other,researchAreaGEO,researchAreaGEO_other,researchAreaING,researchAreaING_other,researchAreaLIFE,researchAreaLIFE_other,researchAreaMATH,researchAreaMATH_other,researchAreaMED,researchAreaMED_other,researchAreaPHYS,researchAreaPHYS_other,researchAreaPSYCH,researchAreaPSYCH_other,researchArea_other,researchFieldHGF,seed,servFormat_1,servFormat_2,servFormat_3,servFormat_4,servFormat_5,servFormat_6,servNeeds_sub_0,servNeeds_sub_1,servNeeds_sub_2,servNeeds_sub_3,servNeeds_sub_4,servNeeds_sub_5,servNeeds_sub_6,servNeeds_sub_7,servNeeds_sub_8,servNeeds_sub_9,servNeeds_sub_other,software_1,software_2,software_3,startlanguage,submitdate,yearsInResearch,centerAffiliation_short,Hub,Unnamed: 270,Unnamed: 271,researchAreaCombined,researchAreaWithLife
0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earth and Environment,316319039,,,,,,,,,,,,,,,,,,,,,de,,,,E&E,,,,
1,1,1,PhD student,,Helmholtz-Zentrum Dresden-Rossendorf (HZDR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,This is the first time I have heard about the FAIR data guidelines.,,13,53.24,1,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chemistry,,,,,Other,Materialwissenschaft,,,,,,,,,,,,,,,,Earth and Environment,918119348,,,,,,,,,,,,,,,,,,,,,de,,1 to 3 years,HZDR,E&E,,,Other,Chemistry
2,2,2,PhD student,,Helmholtz-Zentrum Dresden-Rossendorf (HZDR),,,,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,ROOT-files,,,,,,,Monte Carlo,numerical modelling,,,,,,,,time resolved measurements,,,,,,False,False,True,False,False,,experiments,experiments,1 GB - 10 GB,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,This is the first time I have heard about the FAIR data guidelines.,,14,460.22,3,I don't know,,,,,,,,,,,,,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,True,True,False,,,,,,,Physics,,,,,,,,,,,,,,,,,Other,Medical Physics,,,,Earth and Environment,1784219254,,,,,,,,,,,,,,,,,,ROOT framework,Jupyter Lab,Mathematica,en,,4 to 6 years,HZDR,E&E,,,Other,Physics
3,3,3,Postdoc,,Helmholtz-Zentrum Dresden-Rossendorf (HZDR),,,,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,,Microscopy,,,MS,,,Speciation calculations,,,,,,,,,,,,,,,True,True,True,False,False,,,,< 100 MB,2,2,No,No,Yes,No,,none,,some of them,some of them,some of them,,,,,,all,,all,some of them,all,,,,,True,False,True,True,True,False,False,False,,False,True,False,True,,,,,,,,,,False,False,False,True,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I am not sure,,,,15,560.23,5,Yes,,,,,,,,,,,,,Yes,80,False,False,True,True,True,True,,,,True,True,True,True,False,True,False,True,,,,,,,,,,True,True,False,,True,False,False,True,True,False,False,,True,,,,,,,,,,,,,,,,,,ProteomeXchange,,,,,Life Science,,,Molecular Biology,,,,,,,,Biology,,,,,,,,,,,Earth and Environment,420243978,very interested,moderately interested,moderately interested,not interested,not interested,not interested,False,True,False,True,False,True,False,False,False,False,,,,,en,1980-01-01 00:00:00,4 to 6 years,HZDR,E&E,,,Molecular Biology,Biology
4,4,4,Research associate,,Helmholtz-Zentrum Dresden-Rossendorf (HZDR),,,,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,,digital processing,Machine learning,,,,,,,,,,,,,,,,,,,,True,False,False,False,False,,,,1 GB - 10 GB,3,2,No,Yes,Yes,No,,,none,none,none,,,,,,,,all,all,all,,,,,,False,True,True,True,False,False,False,False,,False,False,False,False,Python scripts,,,,,,,,,False,False,True,True,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I am not sure,,I apply the FAIR data guidelines to the best of my knowledge and/or ability.,,16,800.02,5,Yes,,,,,,,,,,,,,Yes,10,False,False,,,,,False,True,True,False,False,False,True,True,False,,,,,,,,,,,,True,False,False,,True,False,False,True,True,False,False,,False,False,False,True,False,True,False,False,,,,,,,,,,,,,,,,Earth Science,,,,,,,Geology,,,,,,,,,,,,,,,Earth and Environment,1526412642,moderately interested,very interested,very interested,moderately interested,very interested,very interested,False,True,False,False,True,True,False,True,True,True,,python,,,en,1980-01-01 00:00:00,More than 10 years,HZDR,E&E,,,Geology,Earth Science
5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earth and Environment,1570498931,,,,,,,,,,,,,,,,,,,,,de,,,,E&E,,,,
6,6,6,Principal Investigator,,Helmholtz Centre for Ocean Research Kiel (GEOMAR),,,,False,False,True,False,False,True,False,True,True,False,True,True,True,False,False,,Underwater photo / video by marine robots,,,,,,,,,,,,,,,,,,,,,True,False,False,False,False,,,,> 1 TB,1,2,No,Yes,No,No,,some of them,some of them,some of them,some of them,,some of them,,some of them,,Yes,some of them,some of them,some of them,some of them,,some of them,,some of them,,True,True,True,True,False,True,False,True,,False,False,False,True,,False,True,True,True,False,True,False,,False,True,True,False,True,True,False,False,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,iFDO,Yes,,I apply the FAIR data guidelines to the best of my knowledge and/or ability.,,18,615.87,5,No,,,,,,,,,,,,,Yes,90,False,False,True,True,False,True,True,True,True,True,True,True,True,True,True,,,True,True,,,,False,True,False,Purpose of acquisition,False,True,False,,True,False,True,False,False,True,False,,False,False,False,True,False,True,True,False,,,,,,,,,,,PANGAEA,,,,,Engineering Science,,,,,,,,,,,,,,,,,,,,,Computer Science,Earth and Environment,1956050733,moderately interested,very interested,moderately interested,moderately interested,very interested,moderately interested,False,False,False,True,True,True,False,True,True,True,,OpenCV,Jupyter notebooks/lab,QGIS,en,1980-01-01 00:00:00,More than 10 years,GEOMAR,E&E,,,Computer Science,Engineering Science
7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earth and Environment,808611523,,,,,,,,,,,,,,,,,,,,,de,,,,E&E,,,,
8,8,8,Postdoc,,Helmholtz Centre for Environmental Research (UFZ),,,,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,Fangnetze,GIS,,,,,False,False,False,False,False,,Fangmethoden,Fangmethoden,100 MB - 1000 MB (1 GB),1,2,No,Yes,No,No,,none,,none,,,,,,,,all,,all,,,,,,,True,False,True,False,False,False,False,False,,False,True,False,False,,,,,,,,,,False,False,False,True,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,I am familiar with the FAIR data guidelines.,,20,608.74,5,I don't know,,,,,,,,,,,,,Yes,85,False,False,False,False,True,True,,,,True,False,True,False,,,,,,,,,,,,,,True,False,False,,False,True,False,False,False,False,False,,False,False,False,False,False,False,False,True,,,,,,,,,,,,,,,,Life Science,,,,,,,,,,,,,,,,,,,,,Biologie,Earth and Environment,1590423298,very interested,moderately interested,moderately interested,moderately interested,moderately interested,very interested,False,True,False,True,False,False,False,False,False,False,,Microsoft office,R,,de,1980-01-01 00:00:00,4 to 6 years,UFZ,E&E,,,,Biology
9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earth and Environment,666748505,,,,,,,,,,,,,,,,,,,,,de,,,,E&E,,,,
