"id","submitdate","lastpage","startlanguage","seed","PERBG1","PERBG1_other","PERBG2","PERBG3","PERBG3_other","PERBG3ING","PERBG3ING_other","PERBG3GEO","PERBG3GEO_other","PERBG3MATH","PERBG3MATH_other","PERBG3PHYS","PERBG3PHYS_other","PERBG3LIFE","PERBG3LIFE_other","PERBG3BIO","PERBG3BIO_other","PERBG3MED","PERBG3MED_other","PERBG3AGRI","PERBG3AGRI_other","PERBG3PSYCH","PERBG3PSYCH_other","PERBG3CHEM","PERBG3CHEM_other","PERBG4","PERBG6","PERBG6_other","PERBG8","RSDP1_1A2","RSDP1_3A4","RSDP1b_1","RSDP1c_1","RSDP1c_2","RSDP1c_3","RSDP1c_4","RSDP1c_5","RSDP1c_6","RSDP1c_7","RSDP1c_8","RSDP1c_9","RSDP1c_10","RSDP1c_11","RSDP1c_other","RSDP3_1","RSDP3_10","RSDP3_11","RSDP3_12","RSDP3_13","RSDP3_14","RSDP3_15","RSDP3_2","RSDP3_3","RSDP3_4","RSDP3_5","RSDP3_6","RSDP3_7","RSDP3_8","RSDP3_9","RSDP3_other","RSDP7","RDMPR10_1","RDMPR10_2","RDMPR10_3","DTPUB6_1","DTPUB1b_1","DTPUB1b_2","DTPUB1b_3","DTPUB1b_other","DTPUB5_1","DTPUB5_2","DTPUB5_3","DTPUB5_4","DTPUB5_5","DTPUB3_1","DTPUB3_2","DTPUB3_3","DTPUB3_4","DTPUB3_5","DTPUB3_6","DTPUB3_7","DTPUB3_other","DTPUB4a_0","DTPUB4a_1","DTPUB4a_2","DTPUB4a_3","DTPUB4a_4","DTPUB4a_5","DTPUB4a_6","DTPUB4a_7","DTPUB4a_other","DTPUB4b_0","DTPUB4b_1","DTPUB4b_2","DTPUB4b_3","DTPUB4b_4","DTPUB4b_5","DTPUB4b_6","DTPUB4b_7","DTPUB4b_other","RSDP10","RDMPR1_0","RDMPR1_1","RDMPR1_2","RDMPR1_3","RDMPR1_other","RDMPR3_0","RDMPR3_1","RDMPR3_2","RDMPR3_3","RDMPR3_other","RDMPR7_2","RDMPR7_3","RDMPR7_4","RDMPR7_5","RDMPR7_6","RDMPR7_7","RDMPR7_8","RDMPR7_9","RDMPR7_other","RDMPR8_2","RDMPR8_3","RDMPR8_4","RDMPR8_5","RDMPR8_6","RDMPR8_7","RDMPR8_8","RDMPR8_9","RDMPR8_10","RDMPR9_2","RDMPR9_3","RDMPR9_4","RDMPR9_5","RDMPR9_6","RDMPR9_7","RDMPR9_8","RDMPR9_9","RDMPR9_10","DTPUB7_0","DTPUB7_1","DTPUB7_21","DTPUB7_22","DTPUB7_23","DTPUB7_24","DTPUB7_31","DTPUB7_32","DTPUB7_33","DTPUB7_41","DTPUB7_42","DTPUB7_43","DTPUB7_44","DTPUB7_51","DTPUB7_52","DTPUB7_61","DTPUB7_62","DTPUB7_71","DTPUB7_72","DTPUB7_81","DTPUB7_82","DTPUB7_83","DTPUB7_91","DTPUB7_92","DTPUB7_93","DTPUB7_other","RDMPR4","RDMPR5","RDMPR6_1","RDMPR6_13","RDMPR6_14","RDMPR6_15","RDMPR6_16","RDMPR6_17","RDMPR6_18","RDMPR6_19","RDMPR6_2","RDMPR6_20","RDMPR6_21","RDMPR6_22","RDMPR6_23","RDMPR6_24","RDMPR6_3","RDMPR6_4","RDMPR6_26","RDMPR6_other","RDMPR12_0","RDMPR12_1","RDMPR12_2","RDMPR12_3","RDMPR12_4","RDMPR12_5","RDMPR12_6","RDMPR12_other","RDMPR11_0","RDMPR11_1","RDMPR11_4","RDMPR11_5","RDMPR11_6","RDMPR11_7","RDMPR11_8","RDMPR11_9","RDMPR11_other","SERVC1_0","SERVC1_1","SERVC1_2","SERVC1_3","SERVC1_4","SERVC1_5","SERVC1_6","SERVC1_7","SERVC1_8","SERVC1_9","SERVC1_other","SERVC2_1","SERVC2_2","SERVC2_3","SERVC2_4","SERVC2_5","SERVC2_6","SERVC3","interviewtime","groupTime201","PERBG1Time","PERBG2Time","PERBG3Time","PERBG3INGTime","PERBG3GEOTime","PERBG3MATHTime","PERBG3PHYSTime","PERBG3LIFETime","PERBG3BIOTime","PERBG3MEDTime","PERBG3AGRITime","PERBG3PSYCHTime","PERBG3CHEMTime","PERBG4Time","PERBG6Time","PERBG8Time","groupTime202","RSDP1Time","RSDP1bTime","RSDP1cTime","RSDP3Time","RSDP7Time","RDMPR10Time","groupTime203","DTPUB6Time","DTPUB1bTime","DTPUB5Time","DTPUB3Time","DTPUB4aTime","DTPUB4bTime","RSDP10Time","groupTime204","RDMPR1Time","RDMPR3Time","RDMPR7Time","RDMPR8Time","RDMPR9Time","DTPUB7Time","RDMPR4Time","RDMPR5Time","RDMPR6Time","RDMPR12Time","RDMPR11Time","groupTime205","SERVC1Time","SERVC2Time","SERVC3Time","PERBG7","RSDP2_6","RSDP2_1","RSDP2_2","RSDP2_3","RSDP2_5","RSDP2_other","RSDP2b_7_1","RSDP2b_7_2","RSDP2b_7_3","RSDP2b_1-1","RSDP2b_1-2","RSDP2b_1-3","RSDP2b_2-1","RSDP2b_2-2","RSDP2b_2-3","RSDP2b_3-1","RSDP2b_3-2","RSDP2b_3-3","RSDP2b_5-1","RSDP2b_5-2","RSDP2b_5-3","RSDP2b_6-1","RSDP2b_6-2","RSDP2b_6-3","RSDP4","RSDP8","RSDP11","RDMPR6_10","RDMPR6_11","RDMPR6_12","RDMPR6_5","RDMPR6_6","RDMPR6_7","RDMPR6_8","RDMPR6_9","RDMPR6_25","groupTime220","PERBG7Time","groupTime221","RSDP2Time","RSDP2bTime","RSDP4Time","RSDP8Time","RSDP11Time","groupTime222","groupTime223","groupTime224","groupTime226","groupTime227","groupTime228","groupTime229","groupTime230","RSDP2_4","RSDP2b_4-1","RSDP2b_4-2","RSDP2b_4-3","groupTime211","groupTime212","groupTime213","groupTime214","groupTime215","groupTime191","groupTime192","groupTime193","groupTime194","groupTime195","groupTime206","groupTime207","groupTime208","groupTime209","groupTime210"
"1","","0","de","1305321197","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","1980-01-01 00:00:00","5","de","156404658","HZDR","","1","6","","","","","","6.0","","","","","","","","","","","","","","","","5","-oth-","Abteilungsleiter","2","4","4","0","","","","","","","","","","","","","","Y","Y","Y","","","","","","Y","Y","","Y","","","","1","R","latex","Office","75","","Y","","","RODARE","","","","","Y","","","Y","Y","","","","","","Y","Y","","","","Y","","","","","","","","","","","0","","","","","Das ist je nach Projekt unterschiedlich.","","","","","R-Skripte","Y","Y","","","","Y","","","","2","2","","","","2","","","","3","3","","","","3","","","","","","Y","","Y","Y","Y","Y","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","Y","Y","","","","","","","","","Y","Y","Y","","","Y","","3","3","3","2","3","3","","621.07","62.95","","","","","","","","","","","","","","","","","111.51","","","","","","","144.4","","","","","","","","182.02","","","","","","","","","","","","120.19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","1980-01-01 00:00:00","5","de","1357833206","HZDR","","1","1","","","","","","","","","","","","","","","","","","","","-oth-","Radiochemie","5","3","","3","2","5","0","","","","","","","","","","","","","","","","","","","","","","","Y","","Y","","","","1","Geochemist's Workbench","PHREEQC","gnuplot","75","Y","","","","","","","","","Y","","","Y","","","","","","","Y","","","","","","","","","","","","","","","","1","","Y","Y","Y","","","","","Y","","Y","Y","","","","","","","","2","2","","","","","","","","3","3","","","","","","","","","","Y","","","","Y","","","","","","","","","","","","","","","","","","","","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","Datenvisualisierung mehrerer Datensätze ist so leichter","Y","","","","","","","","","","","","Y","","Y","","","","Y","","3","3","2","1","3","2","","1238.44","55.68","","","","","","","","","","","","","","","","","121.61","","","","","","","125.49","","","","","","","","876.47","","","","","","","","","","","","59.19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4","1980-01-01 00:00:00","5","de","754968552","HZDR","","1","4","","","","-oth-","Geoanalytik","","","","","","","","","","","","","","","","","5","3","","3","2","3","45","","","","","","","","","","","","","Y","Y","","Y","","Y","Y","","","Y","Y","","Y","Y","","","3","Origin","Melts","pyMCA","35","Y","Y","","","RODARIS","","","","","Y","Y","","","","Y","","","","","Y","","","Y","","Y","","","","","","","","","","","1","","Y","","","","","Y","","Y","","Y","Y","Y","Y","","","","","","1","1","2","2","","","","","","3","3","3","3","","","","","","","","Y","","Y","Y","Y","","","Y","Y","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","Y","Y","","","","","","","Y","Y","","Y","Y","","","Y","","3","3","2","2","2","3","","408.27","55.9","","","","","","","","","","","","","","","","","130.5","","","","","","","62.19","","","","","","","","114.09","","","","","","","","","","","","45.59","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","","0","de","144663167","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","","1","en","635942124","HZDR","","1","2","","11","","","","","","","","","","","","","","","","","","","","2","2","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","110.79","110.79","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7","1980-01-01 00:00:00","5","de","1507490547","HZDR","","1","4","","","","-oth-","Geochemie","","","","","","","","","","","","","","","","","5","3","","2","1","1","0","","","","","","","","","","","","","Y","","Y","","","","Y","","Y","","Y","","","Y","Y","","5","Avizo","R","Python","5","Y","","","","","","","","","","Y","","","Y","Y","","","","","","Y","","Y","Y","","","","","","","","","","","","1","","","Y","","","","","","Y","","Y","Y","Y","Y","","","","","","3","3","2","2","","","","","","3","3","3","3","","","","","","","","","","Y","Y","Y","","","Y","Y","Y","","","","","","","","","","","","","","","1","2","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","Y","","","","","","","","","Y","","","Y","Y","","Y","Y","Y","","2","3","3","2","3","2","","496.93","87.63","","","","","","","","","","","","","","","","","114.23","","","","","","","77.36","","","","","","","","157.39","","","","","","","","","","","","60.32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8","","2","de","789679130","HZDR","","1","2","","11","","","","","","","","","","","","","","","","","","","","5","5","","1","2","3","0","","","","","","","","","","","","","","Y","","Y","","Y","","","Y","","Y","","Y","Y","","","2","Office","LabView","Datenerfassung Laborgeräte (z.B. iCal)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1310.64","86.46","","","","","","","","","","","","","","","","","1224.18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9","1980-01-01 00:00:00","5","de","612652354","HZDR","","1","2","","6","","","","","","","","","","","","","","","","","","","","4","4","","1","3","1","0","","","","","","","","","","","","","","","Y","Y","","","","","","","Y","","Y","","","","4","MATLAB","OpenFOAM","MS Excel","65","Y","Y","","","RODARE","","","","","Y","Y","","","Y","","","","Y","","","","","","","","","","","","","","","","","","","","","Y","Y","","","Y","","","Publikationen und wissenschaftliche Arbeiten","Y","Y","Y","","Y","","","","","2","2","2","","1","","","","","3","3","3","","3","","","","","","","","","","","","","","","","","Y","","","Y","Y","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","Y","","Y","","","","","","","","Y","Y","","","","Y","","","2","3","1","1","3","2","","2455.36","1847.42","","","","","","","","","","","","","","","","","137.45","","","","","","","166.17","","","","","","","","245.65","","","","","","","","","","","","58.67","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10","1980-01-01 00:00:00","5","de","2138366507","HZDR","","1","-oth-","Biowissenschaften","","","","","","","","","","","","","","","","","","","","","3","3","","1","1","2","0","","","","","","","","","","","","","Y","","","Y","","","","Y","","","Y","Y","","","","","2","Microsoft Office","Agilent HPLC","ChemDraw","25","Y","","Y","","","","","","","","","Y","Y","Y","","","","","","Y","Y","Y","","","","","","","","","","","","","","1","","","Y","","","","","Y","Y","","Y","Y","","","","","","","","1","1","","","","","","","","2","2","","","","","","","","","","","","Y","Y","Y","","","","","","","","","","","","","","","","","","","","1","2","","","","","","","","","","","","","","","","","","","","Y","Y","Y","Y","","","erleichterte Zusammenarbeit","","Y","","Y","","","","","","","Y","Y","Y","Y","Y","","","","","","3","3","2","2","2","3","","468.87","48.54","","","","","","","","","","","","","","","","","93.18","","","","","","","99.88","","","","","","","","175.63","","","","","","","","","","","","51.64","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
